Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Payment Method,Shipping Type,Previous Purchases,Preferred Payment Method,Frequency of Purchases,Customer Segmentation,Seasonal Trends,Delivery Time,Number of Items Purchased
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Venmo,Store Pickup,45,Venmo,Monthly,New,Pre-fall shopping,15,7
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Bank Transfer,Free Shipping,37,Venmo,Annually,Loyal,Christmas present,18,1
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Debit Card,2-Day Shipping,38,PayPal,Quarterly,Loyal,Summer preperation,7,7
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Cash,Free Shipping,44,PayPal,Fortnightly,VIP,Christmas present,11,4
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,PayPal,Next Day Air,31,Debit Card,Quarterly,VIP,Pre-fall shopping,26,1
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Cash,Standard,40,Venmo,Annually,New,Pre-fall shopping,17,2
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Bank Transfer,Free Shipping,45,PayPal,Weekly,VIP,Summer preperation,29,3
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Debit Card,Free Shipping,36,Cash,Weekly,Loyal,Summer preperation,22,2
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Bank Transfer,Next Day Air,34,Debit Card,Bi-Weekly,New,Pre-fall shopping,12,7
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,PayPal,2-Day Shipping,7,Credit Card,Quarterly,New,Back to school,9,1
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,PayPal,Store Pickup,46,Credit Card,Weekly,New,Summer preperation,14,8
58,21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,PayPal,Store Pickup,17,Debit Card,Fortnightly,New,Summer preperation,17,1
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Debit Card,Standard,4,Debit Card,Weekly,VIP,Back to school,25,3
62,55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,Bank Transfer,Store Pickup,21,Credit Card,Every 3 Months,Loyal,Summer preperation,10,4
65,65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,PayPal,Standard,18,Debit Card,Fortnightly,Loyal,Summer preperation,15,7
66,65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,Credit Card,2-Day Shipping,44,Venmo,Every 3 Months,New,Pre-fall shopping,4,9
67,31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,Bank Transfer,2-Day Shipping,3,Venmo,Every 3 Months,Loyal,Pre-fall shopping,10,9
68,45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,PayPal,Store Pickup,49,Debit Card,Monthly,New,Summer preperation,6,8
70,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Credit Card,Express,5,Cash,Weekly,Loyal,Back to school,6,5
75,49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,PayPal,Express,3,Cash,Monthly,New,Back to school,8,4
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Venmo,Free Shipping,50,Venmo,Fortnightly,Loyal,Summer preperation,5,6
85,52,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,Cash,Standard,42,Bank Transfer,Every 3 Months,VIP,Back to school,5,7
86,53,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Credit Card,Next Day Air,2,Debit Card,Bi-Weekly,VIP,Pre-fall shopping,2,6
92,44,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,PayPal,Standard,18,Credit Card,Every 3 Months,New,Pre-fall shopping,26,2
93,61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,Cash,2-Day Shipping,13,Venmo,Every 3 Months,New,Christmas present,29,3
94,37,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,PayPal,Standard,46,Credit Card,Weekly,VIP,Pre-fall shopping,2,6
95,58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,Bank Transfer,Free Shipping,28,Credit Card,Weekly,New,Pre-fall shopping,20,3
98,21,Male,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,PayPal,Store Pickup,37,Cash,Annually,New,Christmas present,3,3
102,27,Male,Coat,Outerwear,85,North Dakota,XL,White,Spring,4.6,Venmo,Express,50,Credit Card,Bi-Weekly,New,Christmas present,16,9
103,51,Male,Socks,Clothing,67,Oklahoma,L,Violet,Winter,4.8,Credit Card,Next Day Air,35,Credit Card,Quarterly,New,Summer preperation,10,4
105,55,Male,Sunglasses,Accessories,24,New Hampshire,L,Pink,Spring,4.4,Bank Transfer,2-Day Shipping,1,PayPal,Monthly,VIP,Back to school,22,9
112,26,Male,Belt,Accessories,75,Massachusetts,L,Purple,Summer,5.0,PayPal,Free Shipping,9,Credit Card,Annually,VIP,Back to school,9,1
118,50,Male,Sandals,Footwear,32,South Dakota,L,Yellow,Summer,4.6,Bank Transfer,Express,29,Cash,Fortnightly,VIP,Back to school,21,4
119,50,Male,Sweater,Clothing,45,Kentucky,L,Orange,Fall,4.8,Bank Transfer,2-Day Shipping,27,Cash,Bi-Weekly,New,Christmas present,26,3
123,40,Male,Backpack,Accessories,40,Washington,L,Brown,Spring,4.8,Credit Card,2-Day Shipping,44,Cash,Fortnightly,New,Christmas present,14,2
128,24,Male,Sweater,Clothing,89,Mississippi,M,Gray,Winter,4.8,Venmo,Next Day Air,26,Credit Card,Weekly,Loyal,Summer preperation,15,2
129,20,Male,Scarf,Accessories,32,California,M,Gold,Spring,4.7,Venmo,Standard,21,Credit Card,Fortnightly,Loyal,Pre-fall shopping,28,8
133,30,Male,Backpack,Accessories,58,New Mexico,M,Orange,Fall,4.7,Bank Transfer,2-Day Shipping,42,PayPal,Weekly,VIP,Christmas present,2,6
135,43,Male,Hat,Accessories,94,Texas,L,Gray,Fall,4.9,Credit Card,Store Pickup,25,Cash,Monthly,VIP,Summer preperation,25,4
138,68,Male,Sneakers,Footwear,43,Colorado,M,Turquoise,Spring,4.7,Cash,Free Shipping,38,PayPal,Weekly,Loyal,Christmas present,12,4
139,68,Male,Skirt,Clothing,29,Georgia,M,Maroon,Winter,4.4,Cash,Store Pickup,42,Bank Transfer,Weekly,Loyal,Pre-fall shopping,18,2
142,56,Male,Gloves,Accessories,46,Virginia,M,Turquoise,Fall,4.9,PayPal,Free Shipping,45,PayPal,Weekly,VIP,Christmas present,3,5
146,24,Male,Jewelry,Accessories,95,Missouri,M,Teal,Fall,4.5,Venmo,Standard,44,Debit Card,Quarterly,VIP,Pre-fall shopping,24,1
151,35,Male,Boots,Footwear,96,California,L,Cyan,Fall,4.9,Bank Transfer,Standard,17,Debit Card,Every 3 Months,Loyal,Back to school,6,6
152,28,Male,Sunglasses,Accessories,47,North Dakota,L,Turquoise,Fall,4.5,Debit Card,Next Day Air,3,Venmo,Annually,VIP,Christmas present,6,7
161,27,Male,Gloves,Accessories,23,Texas,M,Orange,Summer,4.6,Bank Transfer,Free Shipping,34,Venmo,Monthly,New,Pre-fall shopping,25,8
180,64,Male,Boots,Footwear,31,Illinois,M,Violet,Fall,4.9,Debit Card,Store Pickup,9,Bank Transfer,Fortnightly,New,Back to school,6,3
182,32,Male,Pants,Clothing,61,Massachusetts,M,Beige,Summer,4.7,Venmo,Next Day Air,4,Bank Transfer,Weekly,VIP,Pre-fall shopping,17,4
186,46,Male,T-shirt,Clothing,32,Wisconsin,XL,Silver,Summer,4.5,Bank Transfer,Store Pickup,34,Bank Transfer,Fortnightly,Loyal,Christmas present,5,3
190,36,Male,Blouse,Clothing,82,West Virginia,M,Maroon,Fall,4.4,Venmo,Next Day Air,4,Credit Card,Weekly,VIP,Back to school,24,5
199,57,Male,Jewelry,Accessories,45,Utah,M,Turquoise,Winter,4.8,Cash,Standard,39,Credit Card,Fortnightly,Loyal,Back to school,16,8
214,30,Male,Handbag,Accessories,93,Nevada,L,Peach,Fall,4.4,Cash,Store Pickup,11,Debit Card,Every 3 Months,New,Pre-fall shopping,3,3
222,28,Male,Hat,Accessories,68,North Carolina,XL,Magenta,Summer,4.4,Debit Card,Store Pickup,6,Bank Transfer,Quarterly,VIP,Summer preperation,30,4
223,47,Male,Gloves,Accessories,94,New York,XL,Gray,Spring,4.5,Venmo,2-Day Shipping,14,PayPal,Fortnightly,Loyal,Pre-fall shopping,7,6
224,20,Male,Pants,Clothing,41,Wyoming,M,Turquoise,Spring,4.8,Venmo,Free Shipping,34,PayPal,Annually,New,Summer preperation,17,2
230,70,Male,Sandals,Footwear,28,Ohio,S,Silver,Spring,4.6,Cash,Next Day Air,27,PayPal,Every 3 Months,VIP,Christmas present,22,5
234,19,Male,Sweater,Clothing,83,Arizona,XL,Yellow,Fall,4.5,PayPal,Next Day Air,27,Bank Transfer,Every 3 Months,New,Christmas present,12,4
245,53,Male,Belt,Accessories,42,Oregon,S,Indigo,Spring,4.9,Debit Card,2-Day Shipping,39,PayPal,Weekly,Loyal,Pre-fall shopping,26,3
248,29,Male,Sweater,Clothing,66,Montana,XL,Brown,Spring,4.4,Credit Card,Standard,14,Debit Card,Weekly,VIP,Summer preperation,19,7
249,47,Male,Belt,Accessories,100,Pennsylvania,M,Blue,Winter,4.8,Venmo,Express,33,PayPal,Weekly,Loyal,Summer preperation,26,7
254,52,Male,Boots,Footwear,73,Oklahoma,L,Cyan,Winter,4.9,PayPal,2-Day Shipping,15,Bank Transfer,Bi-Weekly,Loyal,Christmas present,6,1
257,58,Male,Jewelry,Accessories,30,South Dakota,XL,Violet,Spring,4.7,Venmo,Express,20,Credit Card,Every 3 Months,Loyal,Back to school,8,1
258,20,Male,Handbag,Accessories,53,West Virginia,M,Red,Summer,4.5,PayPal,Express,5,Credit Card,Quarterly,New,Back to school,20,5
262,21,Male,Jeans,Clothing,77,California,L,Magenta,Winter,4.9,Cash,Standard,21,Credit Card,Annually,VIP,Pre-fall shopping,12,5
271,33,Male,Jeans,Clothing,52,North Dakota,XL,Orange,Fall,4.6,Debit Card,Free Shipping,16,Bank Transfer,Annually,New,Christmas present,30,4
272,65,Male,Sunglasses,Accessories,69,Maryland,XL,Yellow,Summer,4.6,Credit Card,Express,42,Credit Card,Fortnightly,VIP,Christmas present,2,3
273,48,Male,Jewelry,Accessories,26,Oregon,M,Beige,Summer,4.4,PayPal,2-Day Shipping,37,Debit Card,Bi-Weekly,VIP,Christmas present,28,7
286,29,Male,Handbag,Accessories,39,Kentucky,XL,Yellow,Summer,4.8,Credit Card,Express,3,Debit Card,Bi-Weekly,VIP,Summer preperation,11,2
290,49,Male,Coat,Outerwear,85,New York,M,Yellow,Fall,4.5,Debit Card,2-Day Shipping,26,Credit Card,Monthly,VIP,Christmas present,21,8
293,60,Male,Shoes,Footwear,99,Utah,M,Green,Spring,4.7,Credit Card,Free Shipping,24,Cash,Quarterly,New,Back to school,18,7
295,70,Male,Skirt,Clothing,20,New Jersey,M,Gold,Spring,4.6,Cash,Store Pickup,19,Credit Card,Every 3 Months,VIP,Christmas present,7,2
297,25,Male,Sandals,Footwear,74,Indiana,S,Lavender,Spring,4.8,PayPal,2-Day Shipping,19,Credit Card,Weekly,Loyal,Pre-fall shopping,27,3
298,48,Male,Shoes,Footwear,26,Delaware,XL,Purple,Summer,4.4,Bank Transfer,Standard,4,Credit Card,Bi-Weekly,New,Christmas present,17,2
301,29,Male,Hat,Accessories,98,Iowa,M,Teal,Spring,4.4,Cash,Store Pickup,24,PayPal,Weekly,New,Back to school,28,6
310,66,Male,Dress,Clothing,22,Minnesota,M,Yellow,Spring,4.5,Bank Transfer,Standard,21,Cash,Fortnightly,Loyal,Summer preperation,19,2
311,56,Male,Pants,Clothing,85,Montana,M,Charcoal,Winter,4.6,Debit Card,Standard,50,Cash,Fortnightly,New,Pre-fall shopping,22,3
316,66,Male,Jewelry,Accessories,24,Wisconsin,XL,Orange,Spring,4.5,Venmo,Express,24,Debit Card,Annually,New,Christmas present,20,8
321,66,Male,Jewelry,Accessories,72,Kansas,L,White,Summer,4.9,PayPal,Standard,28,Debit Card,Quarterly,VIP,Summer preperation,22,5
322,41,Male,Sneakers,Footwear,36,Vermont,L,Orange,Summer,4.7,Credit Card,Free Shipping,48,Debit Card,Quarterly,Loyal,Back to school,18,4
325,37,Male,Shirt,Clothing,82,Wyoming,M,Olive,Summer,4.8,Credit Card,Standard,37,Venmo,Quarterly,New,Back to school,23,9
334,39,Male,Sweater,Clothing,64,Alaska,M,Teal,Winter,4.5,Cash,Standard,15,Bank Transfer,Bi-Weekly,Loyal,Summer preperation,28,3
337,36,Male,Hat,Accessories,81,Rhode Island,S,Orange,Fall,4.4,Debit Card,Express,16,PayPal,Annually,New,Pre-fall shopping,15,1
342,20,Male,Hat,Accessories,20,Utah,S,Blue,Summer,4.6,Credit Card,Store Pickup,40,Debit Card,Bi-Weekly,Loyal,Christmas present,2,7
344,27,Male,Sandals,Footwear,39,Nebraska,M,Purple,Summer,4.4,Cash,Next Day Air,26,Venmo,Monthly,Loyal,Summer preperation,11,9
346,48,Male,Shoes,Footwear,59,Wyoming,S,Olive,Winter,4.4,Cash,Next Day Air,27,Bank Transfer,Annually,Loyal,Christmas present,7,5
347,49,Male,Jeans,Clothing,50,New Mexico,L,Violet,Spring,4.7,Credit Card,Next Day Air,5,Cash,Weekly,Loyal,Pre-fall shopping,29,9
353,27,Male,Jeans,Clothing,71,Texas,XL,Yellow,Fall,4.9,Venmo,Next Day Air,12,Cash,Every 3 Months,New,Summer preperation,21,4
369,24,Male,Handbag,Accessories,39,Oklahoma,M,Charcoal,Spring,4.5,Venmo,Standard,29,Cash,Monthly,Loyal,Summer preperation,2,8
374,23,Male,Coat,Outerwear,27,North Dakota,L,White,Summer,4.6,Bank Transfer,Express,11,Venmo,Bi-Weekly,New,Back to school,21,4
375,69,Male,Jewelry,Accessories,78,Ohio,S,Purple,Spring,5.0,Bank Transfer,Store Pickup,39,Bank Transfer,Monthly,VIP,Christmas present,16,8
376,59,Male,Sunglasses,Accessories,32,Oklahoma,M,Olive,Summer,4.4,Debit Card,Standard,6,Debit Card,Quarterly,Loyal,Pre-fall shopping,28,1
377,51,Male,Shoes,Footwear,51,South Carolina,S,Gray,Fall,4.9,PayPal,Express,2,Venmo,Bi-Weekly,VIP,Back to school,12,7
379,54,Male,Dress,Clothing,62,Nevada,L,Orange,Winter,4.9,Cash,Next Day Air,23,Credit Card,Monthly,New,Back to school,19,4
380,32,Male,T-shirt,Clothing,29,Montana,S,Magenta,Fall,4.7,Debit Card,2-Day Shipping,46,Debit Card,Bi-Weekly,VIP,Summer preperation,15,2
385,70,Male,Sweater,Clothing,33,California,M,Beige,Fall,4.5,Credit Card,2-Day Shipping,6,Venmo,Annually,VIP,Back to school,6,1
388,45,Male,Coat,Outerwear,93,Georgia,L,Silver,Summer,4.6,Cash,Store Pickup,38,PayPal,Fortnightly,New,Back to school,12,4
392,37,Male,Sweater,Clothing,86,Minnesota,L,Gray,Spring,4.8,Cash,Standard,25,Cash,Fortnightly,Loyal,Back to school,13,8
395,43,Male,Scarf,Accessories,29,North Dakota,M,Beige,Spring,4.8,PayPal,Store Pickup,7,Debit Card,Bi-Weekly,New,Pre-fall shopping,17,3
396,37,Male,Sneakers,Footwear,65,Rhode Island,L,Brown,Winter,4.9,Cash,Store Pickup,2,PayPal,Annually,VIP,Summer preperation,2,8
399,20,Male,Boots,Footwear,67,Montana,S,Silver,Winter,4.6,PayPal,Free Shipping,25,Debit Card,Every 3 Months,New,Pre-fall shopping,14,1
401,39,Male,Boots,Footwear,66,Utah,M,Green,Winter,4.8,Venmo,Free Shipping,14,PayPal,Fortnightly,VIP,Christmas present,13,9
402,43,Male,T-shirt,Clothing,91,Oklahoma,L,Orange,Fall,4.8,Bank Transfer,Standard,21,Cash,Quarterly,New,Christmas present,5,4
404,19,Male,Sneakers,Footwear,45,Nevada,M,Orange,Winter,4.5,Credit Card,Next Day Air,12,Bank Transfer,Annually,Loyal,Christmas present,29,9
405,35,Male,T-shirt,Clothing,93,Delaware,M,Indigo,Spring,4.8,Credit Card,Store Pickup,11,Credit Card,Monthly,VIP,Christmas present,22,3
407,52,Male,Gloves,Accessories,55,Maryland,M,Peach,Spring,4.6,Debit Card,Express,13,Cash,Monthly,Loyal,Christmas present,19,7
411,29,Male,Sweater,Clothing,26,Virginia,L,Lavender,Spring,4.8,Debit Card,2-Day Shipping,1,Credit Card,Quarterly,Loyal,Pre-fall shopping,2,2
414,70,Male,Jewelry,Accessories,99,Nevada,S,White,Summer,4.6,Debit Card,Free Shipping,48,Cash,Monthly,VIP,Christmas present,11,5
418,23,Male,Sandals,Footwear,81,Mississippi,L,Beige,Fall,4.5,PayPal,Free Shipping,48,Debit Card,Quarterly,Loyal,Back to school,7,6
427,43,Male,Pants,Clothing,71,Louisiana,M,Violet,Winter,4.7,Cash,Express,19,Credit Card,Quarterly,VIP,Back to school,8,4
428,58,Male,Backpack,Accessories,91,Illinois,L,Black,Winter,4.5,Cash,Store Pickup,6,Credit Card,Quarterly,VIP,Back to school,18,5
437,40,Male,Pants,Clothing,46,Tennessee,L,Cyan,Summer,4.6,Cash,Free Shipping,41,Bank Transfer,Weekly,Loyal,Christmas present,2,8
446,42,Male,Boots,Footwear,29,Iowa,M,Olive,Fall,4.9,Bank Transfer,Standard,18,Venmo,Annually,Loyal,Christmas present,26,8
458,25,Male,Gloves,Accessories,99,Rhode Island,M,Blue,Spring,4.9,Credit Card,Next Day Air,48,Debit Card,Every 3 Months,Loyal,Summer preperation,15,6
465,23,Male,Sunglasses,Accessories,52,Alabama,M,Silver,Winter,4.7,PayPal,Next Day Air,45,PayPal,Monthly,New,Pre-fall shopping,21,6
467,38,Male,Jeans,Clothing,24,Vermont,L,Turquoise,Winter,4.6,Credit Card,Free Shipping,25,PayPal,Weekly,Loyal,Back to school,13,6
468,19,Male,Backpack,Accessories,51,Nebraska,S,Orange,Spring,4.5,Credit Card,2-Day Shipping,37,Debit Card,Every 3 Months,Loyal,Back to school,14,8
469,34,Male,Backpack,Accessories,38,Georgia,S,Peach,Fall,5.0,Bank Transfer,Free Shipping,16,Cash,Quarterly,New,Back to school,22,6
471,50,Male,Dress,Clothing,63,Minnesota,L,Teal,Summer,4.6,Cash,Express,6,Cash,Every 3 Months,New,Summer preperation,11,9
472,55,Male,Scarf,Accessories,72,Missouri,XL,White,Winter,4.9,Credit Card,2-Day Shipping,36,Bank Transfer,Quarterly,Loyal,Summer preperation,7,2
481,68,Male,Hoodie,Clothing,88,Vermont,M,Gray,Summer,4.8,Credit Card,Standard,30,Debit Card,Bi-Weekly,VIP,Back to school,25,7
485,68,Male,Hat,Accessories,73,Missouri,L,Lavender,Summer,4.7,Credit Card,Free Shipping,28,Bank Transfer,Quarterly,New,Pre-fall shopping,6,5
488,41,Male,Jacket,Outerwear,68,Iowa,L,Red,Winter,4.4,Credit Card,Store Pickup,22,Credit Card,Quarterly,VIP,Back to school,5,1
489,58,Male,Sweater,Clothing,29,Maine,L,Olive,Spring,4.6,Venmo,Standard,32,Venmo,Weekly,New,Pre-fall shopping,26,7
494,28,Male,Backpack,Accessories,48,Nevada,XL,Red,Summer,4.7,Debit Card,Store Pickup,19,Cash,Bi-Weekly,VIP,Back to school,16,5
495,38,Male,Boots,Footwear,68,Indiana,M,Indigo,Winter,4.5,PayPal,Express,42,Debit Card,Weekly,VIP,Pre-fall shopping,4,6
498,43,Male,Sneakers,Footwear,39,Oklahoma,S,Silver,Winter,4.6,Bank Transfer,Free Shipping,31,Cash,Weekly,Loyal,Pre-fall shopping,11,1
500,36,Male,Shoes,Footwear,99,Rhode Island,L,Silver,Winter,4.8,Credit Card,Express,24,PayPal,Monthly,New,Back to school,10,8
501,36,Male,T-shirt,Clothing,31,Washington,L,Purple,Fall,4.8,Bank Transfer,Next Day Air,35,Venmo,Every 3 Months,VIP,Summer preperation,23,3
508,65,Male,Shorts,Clothing,20,Maine,M,Magenta,Spring,5.0,Bank Transfer,Store Pickup,33,Debit Card,Fortnightly,VIP,Summer preperation,2,5
516,28,Male,Hat,Accessories,67,Kentucky,L,Charcoal,Spring,4.5,Credit Card,Next Day Air,7,Cash,Monthly,Loyal,Back to school,27,5
520,19,Male,Belt,Accessories,54,Minnesota,L,Blue,Summer,4.4,Cash,2-Day Shipping,17,Bank Transfer,Quarterly,Loyal,Back to school,4,3
524,46,Male,Sandals,Footwear,40,Delaware,M,Orange,Spring,4.9,Cash,Express,5,PayPal,Quarterly,VIP,Pre-fall shopping,15,3
525,59,Male,Shirt,Clothing,39,Pennsylvania,M,Gold,Summer,4.8,Venmo,Free Shipping,44,PayPal,Annually,VIP,Summer preperation,19,6
527,51,Male,Pants,Clothing,52,New Jersey,S,Red,Winter,4.9,Cash,Standard,19,Cash,Monthly,New,Back to school,12,4
534,57,Male,Sandals,Footwear,60,North Carolina,L,Pink,Spring,4.5,PayPal,Next Day Air,17,Debit Card,Weekly,New,Summer preperation,21,8
535,65,Male,Gloves,Accessories,72,Florida,L,Pink,Fall,4.5,Bank Transfer,Next Day Air,4,PayPal,Quarterly,VIP,Summer preperation,10,2
537,44,Male,Jacket,Outerwear,84,Illinois,S,Maroon,Fall,4.4,Debit Card,Store Pickup,16,Debit Card,Every 3 Months,Loyal,Summer preperation,17,6
543,27,Male,Boots,Footwear,79,Illinois,XL,Teal,Spring,4.6,Venmo,Next Day Air,35,Cash,Bi-Weekly,Loyal,Pre-fall shopping,18,4
549,36,Male,Backpack,Accessories,64,Nebraska,M,Black,Winter,4.6,PayPal,Store Pickup,41,Debit Card,Every 3 Months,Loyal,Christmas present,10,1
556,63,Male,Gloves,Accessories,57,Maine,M,White,Fall,4.8,Bank Transfer,Express,37,Venmo,Annually,Loyal,Summer preperation,7,3
557,40,Male,Coat,Outerwear,90,Montana,L,Indigo,Winter,5.0,Credit Card,Store Pickup,21,Cash,Fortnightly,Loyal,Pre-fall shopping,27,5
564,61,Male,Shoes,Footwear,99,Idaho,M,Black,Fall,4.4,PayPal,Standard,16,Debit Card,Quarterly,Loyal,Back to school,19,5
570,65,Male,Skirt,Clothing,33,Alabama,M,Pink,Fall,4.4,PayPal,Express,46,Credit Card,Every 3 Months,New,Back to school,5,6
573,56,Male,Scarf,Accessories,97,South Carolina,XL,Cyan,Summer,4.6,Credit Card,Next Day Air,26,Bank Transfer,Annually,Loyal,Pre-fall shopping,23,4
575,54,Male,Sneakers,Footwear,79,Maine,L,Red,Fall,4.8,PayPal,Free Shipping,20,Bank Transfer,Bi-Weekly,VIP,Back to school,2,2
576,58,Male,Jeans,Clothing,86,Nebraska,M,Peach,Fall,4.8,Venmo,Express,38,PayPal,Monthly,Loyal,Back to school,9,2
577,48,Male,Hat,Accessories,68,Washington,M,Black,Winter,5.0,Venmo,2-Day Shipping,5,Credit Card,Every 3 Months,New,Pre-fall shopping,2,9
579,69,Male,Sandals,Footwear,90,Maine,M,Purple,Fall,4.6,Debit Card,Next Day Air,22,Credit Card,Fortnightly,Loyal,Summer preperation,27,2
583,40,Male,Jacket,Outerwear,77,Colorado,L,Turquoise,Spring,4.9,Debit Card,Store Pickup,2,Bank Transfer,Quarterly,Loyal,Pre-fall shopping,9,6
585,70,Male,Socks,Clothing,94,Indiana,M,White,Spring,4.7,PayPal,Free Shipping,20,Debit Card,Monthly,New,Back to school,23,5
587,45,Male,Hoodie,Clothing,20,Wisconsin,S,Blue,Winter,4.9,Venmo,2-Day Shipping,9,Venmo,Annually,Loyal,Summer preperation,27,7
591,64,Male,Belt,Accessories,39,Alaska,S,Turquoise,Fall,4.6,Credit Card,Standard,30,Venmo,Fortnightly,New,Pre-fall shopping,7,1
594,67,Male,Coat,Outerwear,35,Alaska,S,Green,Winter,4.4,Cash,Store Pickup,9,PayPal,Every 3 Months,VIP,Back to school,21,2
597,23,Male,Shoes,Footwear,37,Montana,XL,White,Summer,4.5,PayPal,Store Pickup,36,Venmo,Annually,Loyal,Summer preperation,10,6
601,22,Male,Hat,Accessories,63,South Carolina,M,Charcoal,Spring,5.0,Debit Card,2-Day Shipping,25,Venmo,Monthly,Loyal,Summer preperation,10,4
602,32,Male,Backpack,Accessories,38,West Virginia,M,Maroon,Summer,4.7,Cash,Store Pickup,5,Cash,Fortnightly,Loyal,Summer preperation,13,2
605,44,Male,Sunglasses,Accessories,92,West Virginia,S,Pink,Fall,4.4,Bank Transfer,Store Pickup,11,Credit Card,Every 3 Months,Loyal,Back to school,9,4
607,27,Male,Scarf,Accessories,90,Colorado,M,Blue,Spring,4.5,Credit Card,Standard,44,PayPal,Monthly,Loyal,Christmas present,9,7
610,51,Male,Sweater,Clothing,54,Ohio,L,Purple,Fall,4.6,Cash,Next Day Air,49,Credit Card,Fortnightly,VIP,Back to school,11,7
612,43,Male,Scarf,Accessories,33,California,M,Black,Winter,4.7,Credit Card,Store Pickup,19,Cash,Monthly,VIP,Pre-fall shopping,27,6
613,67,Male,Hat,Accessories,43,New Hampshire,L,Lavender,Fall,4.6,PayPal,Express,33,Credit Card,Quarterly,Loyal,Christmas present,7,4
617,29,Male,Gloves,Accessories,72,Pennsylvania,L,Teal,Spring,4.6,Cash,Free Shipping,38,Credit Card,Every 3 Months,VIP,Back to school,8,6
